Jugador,Equipo,Edad,Posicion,Partidos Jugados,Partidos Ganados,Minutos,Goles,Asistencias,Amarillas,Rojas,Tiros por Partido,Acierto de Pases,Aéreos Ganados,Jugadas de Peligro,Rating
Jude Bellingham,Real Madrid,20,ME,17,13,1463,13,2,4,-,2.3,89.7,0.9,6,7.87
Iñaki Williams,Athletic Club,29,MP,18,5,1570,8,3,3,-,3,73.3,0.9,3,7.49
Nico Williams,Athletic Club,21,MP,16,8,1246,3,5,2,-,2.1,80.2,0.3,3,7.42
Antoine Griezmann,Atletico,32,MP,19,10,1561,11,3,3,-,2.4,82.3,0.4,4,7.39
Aleix García,Girona,26,MC,19,10,1710,3,4,2,-,1.2,92,0.6,4,7.35
Rodrygo,Real Madrid,23,MP,16,12,1408,7,4,1,-,3.2,89.9,0.2,2,7.32
Gerard Moreno,Villarreal,31,MP,15,11,1218,9,2,-,-,2.1,80.3,1.1,3,7.32
Takefusa Kubo,Real Sociedad,22,MP,16,8,1419,6,3,2,-,1.8,80.2,0.3,2,7.31
Isco,Real Betis,31,ME,18,5,1504,2,3,5,-,2.1,86,0.6,3,7.30
João Cancelo,Barcelona,29,DF,15,9,1267,2,1,4,-,0.9,84.5,0.8,3,7.26
Vinícius Júnior,Real Madrid,23,MP,10,11,771,4,1,2,-,2.4,78,-,-,7.22
Dani Carvajal,Real Madrid,32,DF,14,12,1181,2,2,1,-,0.6,87.9,0.6,1,7.22
Sávio,Girona,19,MP,19,10,1550,5,5,2,-,1.1,82.5,0.2,3,7.20
Yangel Herrera,Girona,26,ME,14,6,1098,4,-,4,-,1.7,87.1,2.5,1,7.18
Federico Valverde,Real Madrid,25,ME,18,6,1569,1,2,1,-,1.7,91.5,0.4,2,7.16
Toni Kroos,Real Madrid,34,ME,13,7,1210,1,6,2,-,1.2,94.3,0.3,1,7.14
Frenkie de Jong,Barcelona,26,MC,11,9,936,1,-,5,-,0.5,93.8,1,1,7.13
Borja Mayoral,Getafe,26,MP,18,7,1527,12,1,2,-,1.9,76.6,2.2,4,7.10
Álvaro Morata,Atletico,31,MP,15,9,1273,12,1,1,1,2.5,73.2,1.6,2,7.09
Álvaro Vallés,Las Palmas,26,POR,19,7,1710,-,-,-,-,-,75.6,0.3,2,7.09
Pepelu,Valencia,25,MC,19,7,1685,4,-,2,-,1,81.8,1.8,4,7.09
Diego Rico,Getafe,30,DF,14,5,1247,-,5,5,-,0.5,67.6,1.4,-,7.09
Artem Dovbyk,Girona,26,DL,14,11,1115,11,5,1,-,2.5,70.9,1.2,2,7.08
Gavi,Barcelona,19,MP,10,6,943,1,1,5,-,0.8,91.4,1.1,-,7.08
Gorka Guruzeta,Athletic Club,27,DL,18,8,1325,8,1,2,-,2.1,66.4,2.5,2,7.08
Ilkay Gündogan,Barcelona,33,ME,17,11,1567,3,3,2,-,1.2,90.1,0.2,1,7.07
Mikel Merino,Real Sociedad,27,ME,14,7,1254,1,3,4,-,1.1,77.4,4.9,2,7.06
Robert Lewandowski,Barcelona,35,DL,15,12,1360,8,4,3,-,3.5,74.3,1.8,1,7.05
Ante Budimir,Osasuna,32,DL,16,6,1390,9,2,4,-,2.4,59.9,4.7,3,7.03
Ayoze Pérez,Real Betis,30,DL,18,5,1452,4,1,3,-,2.4,78.6,0.5,3,7.03
Vedat Muriqi,Mallorca,29,DL,12,3,1060,4,2,-,-,2.4,63.9,5.4,1,7.01
Loïc Badé,Sevilla,23,DF,11,2,952,-,1,1,1,0.8,81.4,3.3,1,7.01
Bryan Zaragoza,Granada,22,MP,15,2,1380,6,2,5,-,1.6,63.2,0.2,4,7.01
João Félix,Barcelona,24,DL,13,8,1008,3,2,3,-,2.3,84.3,0.4,2,6.99
Raphinha,Barcelona,27,DL,8,10,672,3,5,2,1,2.2,79.6,0.5,2,6.99
Martín Zubimendi,Real Sociedad,24,MC,17,7,1607,4,1,3,-,0.7,85.6,1.6,3,6.98
Yuri Berchiche,Athletic Club,33,ME,10,10,891,1,1,2,-,0.5,78.7,1.5,1,6.98
Germán Pezzella,Real Betis,32,DF,18,6,1583,1,-,3,-,0.8,86.7,2.6,2,6.97
Rodrigo De Paul,Atletico,29,MP,12,8,1013,-,4,3,-,1,87.5,0.1,2,6.97
Ivan Rakitic,Sevilla,35,ME,15,3,1371,2,1,6,-,1.8,80.9,0.7,1,6.97
